Spinel,MgFe1,MgFe2,MgFe3,MgFe4,MgFe5,MgFe6,MgFe7,MgFe8,MgFe9,MgFe10,MgFe11,MgAl1,MgAl2,MgAl3,MgAl4,MgAl5,MgAl6,MgAl7,MgAl8,MgAl9,MgAl10,MgAl11,FeAl1,FeAl2,FeAl3,FeAl4,FeAl5,FeAl6,FeAl7,FeAl8,FeAl9,FeAl10,FeAl11,Mg1,Mg2,Mg3,Mg4,Mg5,Mg6,Fe1,Fe2,Fe3,Fe4,Fe5,Fe6,Al1,Al2,Al3,Al4,Al5,Al6,energy
53,4,10,4,18,6,10,2,18,6,4,0,24,39,3,6,30,39,0,6,30,3,16,16,18,0,6,18,18,2,6,18,0,4,36,11,0,4,11,4,2,2,0,0,2,2,46,9,0,84,9,2,-388.30849
54,2,8,5,24,8,8,1,24,8,5,2,34,41,2,12,20,41,1,12,20,2,14,18,17,2,0,16,17,0,0,16,2,5,24,11,8,0,11,4,2,2,0,0,2,2,40,8,0,96,8,3,-388.32089
55,2,7,4,15,8,7,2,15,8,4,3,30,41,2,9,24,41,1,9,24,2,14,18,17,2,3,16,17,0,3,16,2,5,36,12,4,2,12,3,2,3,6,0,3,1,42,8,0,92,8,3,-388.25758
56,2,8,5,24,8,8,1,24,8,5,2,30,41,2,12,24,41,1,12,24,2,14,18,17,2,0,16,17,0,0,16,2,5,24,11,4,2,11,4,2,2,0,0,2,2,42,8,0,92,8,3,-388.21423
57,8,15,1,9,4,15,1,9,4,1,3,16,47,1,9,20,47,1,9,20,1,19,24,9,1,3,24,9,2,3,24,1,2,54,10,0,0,10,2,2,2,0,8,2,1,46,10,0,88,10,1,-388.74994
58,2,12,0,12,6,12,2,12,6,0,6,18,50,2,12,18,50,0,12,18,2,16,26,9,3,0,26,9,0,0,26,3,2,48,10,0,2,10,2,4,3,0,4,3,0,44,7,0,88,7,4,-388.22898
59,2,14,2,9,6,14,0,9,6,2,4,22,49,1,9,18,49,1,9,18,1,17,26,9,3,3,26,9,0,3,26,3,2,54,9,0,0,9,3,4,1,0,4,1,2,42,8,0,88,8,3,-388.59976
60,6,13,2,9,2,13,0,9,2,2,5,18,50,1,9,18,50,1,9,18,1,16,26,8,3,3,30,8,0,3,30,3,3,54,9,4,0,9,3,2,2,0,4,2,1,44,8,0,84,8,3,-388.68098
61,0,4,1,9,4,4,2,9,4,1,1,32,44,5,15,24,44,1,15,24,5,16,12,10,1,3,8,10,1,3,8,1,2,36,12,8,2,12,3,0,1,0,0,1,0,50,18,6,112,18,6,-392.35944
62,4,3,3,9,2,3,0,9,2,3,2,24,48,6,15,30,48,0,15,30,6,12,8,8,2,3,10,8,0,3,10,2,4,36,9,4,4,9,6,0,1,0,0,1,0,56,16,6,104,16,8,-392.51368
63,2,3,3,9,2,3,0,9,2,3,2,34,46,4,15,22,46,2,15,22,4,14,10,8,2,3,10,8,0,3,10,2,4,36,11,12,0,11,4,0,1,0,0,1,0,50,18,6,112,18,6,-392.73111
64,4,4,2,9,0,4,1,9,0,2,1,28,45,5,15,28,45,1,15,28,5,15,8,10,2,3,12,10,0,3,12,2,2,36,11,8,2,11,4,0,0,0,0,0,1,54,17,6,104,17,7,-392.38632
